epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4508.31,1.00577,0.56978,1.05854,0.93465,0.76972,0.84172,0.59555,1.12442,0.62443,1.04224,0.000945641,0.000945641,0.000945641
43,4785.07,0.99528,0.55393,1.05886,0.91831,0.79084,0.84894,0.59529,1.14582,0.60913,1.05229,0.000933851,0.000933851,0.000933851
44,5062.84,0.98554,0.54424,1.05094,0.92104,0.79788,0.84424,0.5971,1.13731,0.6054,1.05001,0.000922062,0.000922062,0.000922062
45,5342.49,0.98514,0.57146,1.0566,0.94231,0.77648,0.84058,0.60115,1.12451,0.60009,1.04223,0.000910273,0.000910273,0.000910273
46,5624.94,1.00122,0.56076,1.05542,0.91244,0.79005,0.84136,0.60546,1.1178,0.60209,1.03338,0.000898484,0.000898484,0.000898484
47,5905.13,0.99341,0.54558,1.06121,0.92421,0.79368,0.8444,0.59918,1.13072,0.58327,1.04504,0.000886694,0.000886694,0.000886694
48,6183.73,0.99482,0.55502,1.05164,0.93164,0.7874,0.84575,0.59827,1.15448,0.59745,1.04863,0.000874905,0.000874905,0.000874905
49,6463.06,0.98732,0.53703,1.04532,0.93506,0.78157,0.8429,0.60152,1.14304,0.58959,1.03685,0.000863116,0.000863116,0.000863116
50,6741.04,0.98035,0.53988,1.04903,0.92179,0.79626,0.84335,0.60451,1.11817,0.55859,1.02441,0.000851327,0.000851327,0.000851327
51,7017.79,0.97835,0.53706,1.05076,0.9286,0.7856,0.8452,0.60185,1.13699,0.58987,1.0384,0.000839537,0.000839537,0.000839537
52,7294.5,0.96914,0.53526,1.046,0.92171,0.79565,0.8483,0.60654,1.09744,0.5962,1.02423,0.000827748,0.000827748,0.000827748
53,7571.28,0.97861,0.5315,1.04776,0.91914,0.80246,0.84685,0.60612,1.12325,0.57365,1.03361,0.000815959,0.000815959,0.000815959
54,7848.6,0.97466,0.54028,1.04074,0.92222,0.7942,0.84912,0.60187,1.13031,0.56929,1.0343,0.00080417,0.00080417,0.00080417
55,8124.42,0.96098,0.5242,1.04245,0.92187,0.79654,0.84988,0.60707,1.12735,0.58228,1.03818,0.00079238,0.00079238,0.00079238
56,8404.38,0.97074,0.52242,1.04035,0.93079,0.78748,0.84162,0.60534,1.11935,0.57305,1.032,0.000780591,0.000780591,0.000780591
57,8686.09,0.95763,0.52042,1.03858,0.93267,0.79846,0.84856,0.60903,1.1033,0.56496,1.01409,0.000768802,0.000768802,0.000768802
58,8965.2,0.96387,0.5184,1.03846,0.93723,0.77749,0.84192,0.60798,1.11388,0.585,1.02867,0.000757013,0.000757013,0.000757013
59,9244.53,0.95097,0.51068,1.04055,0.92232,0.79786,0.8481,0.61246,1.1015,0.55611,1.02209,0.000745223,0.000745223,0.000745223
60,9527.52,0.94316,0.50732,1.03363,0.94232,0.80063,0.85409,0.61386,1.09297,0.54376,1.02003,0.000733434,0.000733434,0.000733434
61,9822.6,0.93509,0.4994,1.02973,0.93618,0.79299,0.84945,0.6122,1.09017,0.55451,1.01457,0.000721645,0.000721645,0.000721645
62,10112.8,0.94504,0.51065,1.03147,0.92736,0.79692,0.84887,0.61115,1.08456,0.58268,1.02289,0.000709856,0.000709856,0.000709856
63,10406.3,0.94054,0.50368,1.02509,0.92389,0.80307,0.84997,0.61108,1.08791,0.57241,1.01669,0.000698066,0.000698066,0.000698066
64,10703.3,0.9415,0.50484,1.02889,0.94122,0.807,0.85654,0.61737,1.07418,0.55916,1.01111,0.000686277,0.000686277,0.000686277
65,11000.5,0.92662,0.49242,1.02774,0.94933,0.79264,0.85358,0.61891,1.07839,0.55231,1.01818,0.000674488,0.000674488,0.000674488
66,11290.5,0.93534,0.49739,1.02592,0.9349,0.80453,0.85419,0.61777,1.08893,0.54504,1.01399,0.000662699,0.000662699,0.000662699
67,11577,0.94255,0.49369,1.02476,0.93868,0.80549,0.86105,0.61992,1.08354,0.54575,1.01581,0.000650909,0.000650909,0.000650909
68,11861.8,0.92373,0.49143,1.02129,0.93999,0.79358,0.85301,0.61489,1.09944,0.56391,1.01872,0.00063912,0.00063912,0.00063912
69,12148.3,0.92988,0.48664,1.02328,0.92544,0.80125,0.85164,0.61686,1.0743,0.55512,1.00637,0.000627331,0.000627331,0.000627331
70,12435.8,0.91926,0.48431,1.01497,0.937,0.8058,0.85661,0.61743,1.08833,0.53336,1.01423,0.000615542,0.000615542,0.000615542
71,12719.2,0.91189,0.48196,1.01612,0.9426,0.80932,0.8604,0.62836,1.07983,0.54405,1.01825,0.000603752,0.000603752,0.000603752
72,13003.6,0.90027,0.47329,1.01257,0.95097,0.80045,0.85994,0.62209,1.08621,0.5343,1.01306,0.000591963,0.000591963,0.000591963
73,13289.3,0.91866,0.49239,1.01563,0.93774,0.80623,0.85961,0.62481,1.07709,0.54054,1.01227,0.000580174,0.000580174,0.000580174
74,13572.9,0.89346,0.47181,1.01053,0.94226,0.80101,0.85991,0.62776,1.06775,0.53908,1.00447,0.000568385,0.000568385,0.000568385
75,13864.2,0.91417,0.4736,1.01281,0.9463,0.80673,0.86264,0.62905,1.06094,0.52254,1.00602,0.000556595,0.000556595,0.000556595
76,14196,0.90844,0.46255,1.00941,0.94681,0.81006,0.8604,0.62905,1.06067,0.52623,1.00515,0.000544806,0.000544806,0.000544806
77,14531.5,0.90198,0.469,1.01218,0.94046,0.79217,0.858,0.62163,1.08048,0.54663,1.01143,0.000533017,0.000533017,0.000533017
