epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7339.65,0.99547,0.5556,1.058,0.94198,0.77346,0.83659,0.59024,1.1455,0.60942,1.04776,0.000848969,0.000848969,0.000848969
43,7624.43,0.99133,0.55439,1.05435,0.95092,0.77245,0.84051,0.60058,1.12199,0.59777,1.0322,0.000834822,0.000834822,0.000834822
44,7908.4,0.99409,0.54718,1.05899,0.93695,0.7621,0.83631,0.58783,1.13153,0.60125,1.04021,0.000820675,0.000820675,0.000820675
45,8193.77,1.00032,0.55564,1.04741,0.91326,0.80587,0.85245,0.5996,1.11134,0.56244,1.02717,0.000806528,0.000806528,0.000806528
46,8480.62,0.97947,0.54505,1.04796,0.93165,0.79059,0.84118,0.59904,1.11313,0.58432,1.0366,0.00079238,0.00079238,0.00079238
47,8768.35,0.99714,0.541,1.05705,0.94318,0.77642,0.84587,0.59798,1.13993,0.57898,1.0449,0.000778233,0.000778233,0.000778233
48,9058.53,0.97527,0.54046,1.05085,0.92898,0.80162,0.84764,0.60647,1.1077,0.56995,1.02943,0.000764086,0.000764086,0.000764086
49,9348.76,0.98425,0.53953,1.05088,0.92259,0.7929,0.84217,0.59852,1.11551,0.5903,1.03303,0.000749939,0.000749939,0.000749939
50,9636.19,0.96823,0.53541,1.04752,0.93267,0.80022,0.84955,0.60315,1.11921,0.57771,1.0415,0.000735792,0.000735792,0.000735792
51,9924.95,0.96113,0.52631,1.04168,0.91477,0.80657,0.84312,0.60317,1.10089,0.57118,1.02902,0.000721645,0.000721645,0.000721645
52,10213.2,0.95469,0.5147,1.04061,0.93418,0.79258,0.84482,0.60347,1.11252,0.58166,1.04233,0.000707498,0.000707498,0.000707498
53,10503.9,0.96579,0.52978,1.04091,0.94487,0.78629,0.84313,0.59933,1.10954,0.59741,1.03169,0.000693351,0.000693351,0.000693351
54,10795,0.95914,0.51946,1.0315,0.91824,0.81756,0.85316,0.6072,1.09054,0.57025,1.01307,0.000679204,0.000679204,0.000679204
55,11084.9,0.95234,0.51217,1.03276,0.93162,0.7996,0.85188,0.61756,1.08297,0.55059,1.0146,0.000665057,0.000665057,0.000665057
56,11371.9,0.94512,0.51286,1.03427,0.935,0.80181,0.85113,0.61175,1.08794,0.55031,1.01383,0.000650909,0.000650909,0.000650909
57,11659.9,0.94334,0.5131,1.03302,0.93844,0.79543,0.84754,0.60836,1.10689,0.56299,1.02271,0.000636762,0.000636762,0.000636762
58,11951.2,0.96465,0.50816,1.03449,0.94021,0.7978,0.853,0.60762,1.09259,0.55819,1.02478,0.000622615,0.000622615,0.000622615
59,12246.2,0.94347,0.50639,1.03232,0.94846,0.78581,0.85248,0.61078,1.09759,0.55339,1.02251,0.000608468,0.000608468,0.000608468
60,12539.1,0.94125,0.50342,1.02528,0.9353,0.79153,0.84673,0.61208,1.07478,0.56276,1.01259,0.000594321,0.000594321,0.000594321
61,12832.1,0.93343,0.49505,1.0193,0.9417,0.79161,0.85649,0.61559,1.08813,0.53828,1.02135,0.000580174,0.000580174,0.000580174
62,13126.6,0.92412,0.49449,1.02006,0.93481,0.80075,0.85326,0.61635,1.07962,0.53816,1.01854,0.000566027,0.000566027,0.000566027
63,13421.7,0.91475,0.48602,1.01861,0.95569,0.78253,0.85827,0.62155,1.10036,0.54553,1.01703,0.00055188,0.00055188,0.00055188
64,13715.6,0.9344,0.50235,1.02266,0.92624,0.80251,0.85697,0.61909,1.08914,0.52384,1.01912,0.000537733,0.000537733,0.000537733
65,14011.3,0.91303,0.48221,1.01743,0.91713,0.81014,0.85692,0.62036,1.07924,0.52755,1.01458,0.000523586,0.000523586,0.000523586
66,14307.8,0.92556,0.49023,1.01565,0.93066,0.8018,0.85187,0.62228,1.06146,0.5285,1.00778,0.000509438,0.000509438,0.000509438
67,14608.7,0.92396,0.47473,1.01757,0.94128,0.80045,0.85655,0.62646,1.06484,0.54086,1.00946,0.000495291,0.000495291,0.000495291
68,14903.3,0.90715,0.47719,1.01332,0.9448,0.78491,0.85313,0.61635,1.08436,0.55305,1.01519,0.000481144,0.000481144,0.000481144
69,15197.7,0.89927,0.46917,1.00838,0.9425,0.78082,0.85104,0.61852,1.07513,0.53755,1.01249,0.000466997,0.000466997,0.000466997
70,15490,0.89507,0.47363,1.00094,0.92839,0.80397,0.86159,0.62712,1.07026,0.52624,1.0059,0.00045285,0.00045285,0.00045285
71,15781.8,0.90058,0.47108,1.0063,0.92512,0.81299,0.85876,0.62396,1.06564,0.52657,1.01437,0.000438703,0.000438703,0.000438703
72,16073.8,0.88603,0.46096,1.00402,0.93697,0.8035,0.85784,0.6262,1.05054,0.52679,1.00351,0.000424556,0.000424556,0.000424556
73,16365.8,0.90207,0.464,1.00901,0.93565,0.80271,0.85753,0.61661,1.08942,0.54453,1.02014,0.000410409,0.000410409,0.000410409
74,16658.5,0.88582,0.45744,1.00353,0.94024,0.79633,0.86029,0.62988,1.06861,0.5258,1.01024,0.000396262,0.000396262,0.000396262
75,16952.5,0.88835,0.4606,1.0068,0.91694,0.81319,0.86044,0.63153,1.06111,0.52499,1.0089,0.000382115,0.000382115,0.000382115
76,17246.4,0.88742,0.45962,1.00184,0.94533,0.80029,0.86153,0.62556,1.06241,0.52378,1.00898,0.000367967,0.000367967,0.000367967
77,17538.6,0.89004,0.45142,1.0028,0.92488,0.81037,0.85974,0.63275,1.05575,0.52342,1.00403,0.00035382,0.00035382,0.00035382
78,17833.7,0.87816,0.44533,0.9926,0.93995,0.80819,0.86119,0.63131,1.0568,0.51656,1.00585,0.000339673,0.000339673,0.000339673
79,18130.3,0.86711,0.44237,0.99364,0.93241,0.80904,0.85965,0.63001,1.05369,0.51418,0.99813,0.000325526,0.000325526,0.000325526
80,18428.1,0.87718,0.44234,0.99915,0.9323,0.80806,0.85823,0.62972,1.05647,0.5222,1.0036,0.000311379,0.000311379,0.000311379
81,18725.7,0.88451,0.44555,0.99725,0.92291,0.81386,0.86251,0.63197,1.05754,0.53219,1.00549,0.000297232,0.000297232,0.000297232
82,19026.9,0.88396,0.45449,0.9996,0.93648,0.79856,0.85976,0.63325,1.04965,0.52849,1.00101,0.000283085,0.000283085,0.000283085
83,19328.9,0.85348,0.4342,0.99084,0.95156,0.79834,0.86374,0.63554,1.04876,0.52034,1.00094,0.000268938,0.000268938,0.000268938
84,19631.8,0.85991,0.43148,0.9926,0.945,0.80158,0.86275,0.63444,1.043,0.50161,0.99859,0.000254791,0.000254791,0.000254791
85,19935.4,0.86026,0.43576,0.99074,0.92088,0.81438,0.86586,0.63785,1.05062,0.51007,1.00302,0.000240644,0.000240644,0.000240644
86,20237.3,0.85047,0.42742,0.9855,0.94707,0.79683,0.86048,0.63241,1.05409,0.51547,1.00511,0.000226497,0.000226497,0.000226497
87,20541.9,0.85759,0.43652,0.99039,0.92065,0.8055,0.8606,0.63556,1.045,0.51345,1.00076,0.000212349,0.000212349,0.000212349
88,20845,0.85276,0.43494,0.98781,0.92761,0.81158,0.86283,0.63638,1.04297,0.51159,0.99944,0.000198202,0.000198202,0.000198202
89,21159.7,0.8304,0.4154,0.97567,0.92301,0.81157,0.86146,0.63643,1.04379,0.51133,1.00043,0.000184055,0.000184055,0.000184055
90,21480.8,0.84618,0.43293,0.97563,0.94045,0.79805,0.86348,0.63923,1.0396,0.51418,0.99843,0.000169908,0.000169908,0.000169908
91,21833.9,0.82786,0.37381,0.97355,0.94881,0.79503,0.8639,0.63908,1.04654,0.51426,0.99543,0.000155761,0.000155761,0.000155761
92,22165.2,0.81813,0.37003,0.96612,0.9234,0.80978,0.86299,0.63715,1.04209,0.51825,0.99382,0.000141614,0.000141614,0.000141614
93,22500.5,0.8075,0.36126,0.9681,0.94831,0.79222,0.86216,0.63686,1.04115,0.52064,0.99462,0.000127467,0.000127467,0.000127467
94,22822.1,0.80597,0.36369,0.96538,0.93379,0.81054,0.86723,0.64076,1.03614,0.50968,0.99101,0.00011332,0.00011332,0.00011332
95,23137.1,0.7967,0.35411,0.96122,0.92425,0.81412,0.86493,0.64217,1.03438,0.51704,0.99101,9.91726e-05,9.91726e-05,9.91726e-05
96,23453.2,0.80315,0.35529,0.96678,0.92207,0.81849,0.86439,0.64266,1.03834,0.50631,0.99417,8.50255e-05,8.50255e-05,8.50255e-05
97,23769.5,0.79473,0.35797,0.96222,0.92861,0.81692,0.86563,0.64409,1.03696,0.50654,0.9927,7.08784e-05,7.08784e-05,7.08784e-05
98,24091.1,0.79202,0.35067,0.96204,0.92988,0.81412,0.86581,0.64489,1.03599,0.51097,0.99358,5.67313e-05,5.67313e-05,5.67313e-05
99,24420.1,0.78911,0.36019,0.96231,0.9463,0.80368,0.86559,0.64414,1.03611,0.51069,0.9927,4.25842e-05,4.25842e-05,4.25842e-05
100,24755.2,0.78082,0.34895,0.95426,0.93493,0.81185,0.8647,0.64309,1.03712,0.50743,0.99373,2.84371e-05,2.84371e-05,2.84371e-05
